# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Croatia,22-01-2020,0,0,0,60.0,0.0,-5.0,0.0,375.0,0.0,1.0,0.0,7.0,0.0,-1.0,0.0,1.0,0.0
Croatia,23-01-2020,0,0,0,79.0,0.0,-3.0,0.0,332.0,0.0,5.0,0.0,2.0,0.0,-2.0,0.0,2.0,0.0
Croatia,24-01-2020,0,0,0,73.0,0.0,-2.0,0.0,322.0,0.0,3.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0
Croatia,25-01-2020,0,0,0,94.0,0.0,2.0,0.0,306.0,0.0,47.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Croatia,26-01-2020,0,0,0,95.0,0.0,2.0,0.0,319.0,0.0,75.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Croatia,27-01-2020,0,0,0,93.0,0.0,1.0,0.0,324.0,0.0,23.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Croatia,28-01-2020,0,0,0,92.0,0.0,3.0,0.0,357.0,0.0,81.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Croatia,29-01-2020,0,0,0,92.0,0.0,1.0,0.0,389.0,0.0,73.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Croatia,30-01-2020,0,0,0,74.0,0.0,-2.0,0.0,325.0,0.0,9.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0
Croatia,31-01-2020,0,0,0,88.0,0.0,4.0,0.0,300.0,0.0,15.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0
Croatia,01-02-2020,0,0,0,93.0,0.0,6.0,0.0,288.0,0.0,40.0,0.0,9.0,0.0,6.0,0.0,2.0,0.0
Croatia,02-02-2020,0,0,0,89.0,0.0,6.0,0.0,318.0,0.0,40.0,0.0,10.0,0.0,7.0,0.0,2.0,0.0
Croatia,03-02-2020,0,0,0,90.0,0.0,6.0,0.0,308.0,0.0,26.0,0.0,10.0,0.0,6.0,0.0,2.0,0.0
Croatia,04-02-2020,0,0,0,84.0,0.0,2.0,0.0,363.0,0.0,83.0,0.0,9.0,0.0,-1.0,0.0,1.0,0.0
Croatia,05-02-2020,0,0,0,62.0,0.0,-7.0,0.0,404.0,0.0,34.0,0.0,1.0,0.0,-4.0,0.0,1.0,0.0
Croatia,06-02-2020,0,0,0,47.0,0.0,-11.0,0.0,371.0,0.0,2.0,0.0,3.0,0.0,-3.0,0.0,2.0,0.0
Croatia,07-02-2020,0,0,0,50.0,0.0,-9.0,0.0,338.0,0.0,3.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
Croatia,08-02-2020,0,0,0,80.0,0.0,-2.0,0.0,328.0,0.0,4.0,0.0,7.0,0.0,-1.0,0.0,2.0,0.0
Croatia,09-02-2020,0,0,0,84.0,0.0,0.0,0.0,329.0,0.0,12.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0
Croatia,10-02-2020,0,0,0,88.0,0.0,4.0,0.0,273.0,0.0,65.0,0.0,8.0,0.0,6.0,0.0,2.0,0.0
Croatia,11-02-2020,0,0,0,80.0,0.0,3.0,0.0,269.0,0.0,41.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0
Croatia,12-02-2020,0,0,0,82.0,0.0,0.0,0.0,309.0,0.0,19.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
