# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Poland,22-01-2020,0,0,0,84.0,0.0,0.0,0.0,354.0,0.0,28.0,0.0,4.0,0.0,-1.0,0.0,1.0,0.0
Poland,23-01-2020,0,0,0,85.0,0.0,-1.0,0.0,330.0,0.0,10.0,0.0,2.0,0.0,-2.0,0.0,1.0,0.0
Poland,24-01-2020,0,0,0,77.0,0.0,-3.0,0.0,283.0,0.0,6.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0
Poland,25-01-2020,0,0,0,75.0,0.0,-3.0,0.0,271.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Poland,26-01-2020,0,0,0,74.0,0.0,-3.0,0.0,255.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Poland,27-01-2020,0,0,0,78.0,0.0,-1.0,0.0,295.0,0.0,22.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Poland,28-01-2020,0,0,0,83.0,0.0,0.0,0.0,330.0,0.0,57.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Poland,29-01-2020,0,0,0,85.0,0.0,0.0,0.0,382.0,0.0,90.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0
Poland,30-01-2020,0,0,0,88.0,0.0,1.0,0.0,361.0,0.0,90.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0
Poland,31-01-2020,0,0,0,85.0,0.0,4.0,0.0,293.0,0.0,86.0,0.0,9.0,0.0,6.0,0.0,1.0,0.0
Poland,01-02-2020,0,0,0,87.0,0.0,7.0,0.0,280.0,0.0,93.0,0.0,11.0,0.0,5.0,0.0,1.0,0.0
Poland,02-02-2020,0,0,0,84.0,0.0,4.0,0.0,322.0,0.0,91.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0
Poland,03-02-2020,0,0,0,88.0,0.0,2.0,0.0,375.0,0.0,90.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0
Poland,04-02-2020,0,0,0,89.0,0.0,3.0,0.0,400.0,0.0,91.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Poland,05-02-2020,0,0,0,70.0,0.0,-3.0,0.0,394.0,0.0,64.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Poland,06-02-2020,0,0,0,83.0,0.0,0.0,0.0,354.0,0.0,50.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
Poland,07-02-2020,0,0,0,64.0,0.0,-5.0,0.0,339.0,0.0,56.0,0.0,2.0,0.0,-3.0,0.0,1.0,0.0
Poland,08-02-2020,0,0,0,52.0,0.0,-8.0,0.0,312.0,0.0,2.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Poland,09-02-2020,0,0,0,66.0,0.0,-2.0,0.0,321.0,0.0,6.0,0.0,8.0,0.0,4.0,0.0,1.0,0.0
Poland,10-02-2020,0,0,0,75.0,0.0,2.0,0.0,322.0,0.0,94.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0
Poland,11-02-2020,0,0,0,77.0,0.0,0.0,0.0,353.0,0.0,92.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Poland,12-02-2020,0,0,0,68.0,0.0,-1.0,0.0,414.0,0.0,65.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Poland,13-02-2020,0,0,0,69.0,0.0,-2.0,0.0,400.0,0.0,28.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Poland,14-02-2020,0,0,0,89.0,0.0,1.0,0.0,397.0,0.0,75.0,0.0,5.0,0.0,-2.0,0.0,1.0,0.0
Poland,15-02-2020,0,0,0,81.0,0.0,0.0,0.0,349.0,0.0,9.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0
Poland,16-02-2020,0,0,0,62.0,0.0,0.0,0.0,314.0,0.0,6.0,0.0,13.0,0.0,9.0,0.0,1.0,0.0
