# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Cambodia,22-01-2020,0,0,0,65.0,0.0,20.0,0.0,243.0,0.0,2.0,0.0,35.0,0.0,22.0,0.0,10.0,0.0
Cambodia,23-01-2020,0,0,0,66.0,0.0,20.0,0.0,252.0,0.0,5.0,0.0,34.0,0.0,21.0,0.0,9.0,0.0
Cambodia,24-01-2020,0,0,0,61.0,0.0,18.0,0.0,251.0,0.0,4.0,0.0,34.0,0.0,21.0,0.0,7.0,0.0
Cambodia,25-01-2020,0,0,0,69.0,0.0,20.0,0.0,247.0,0.0,5.0,0.0,34.0,0.0,22.0,0.0,9.0,0.0
Cambodia,26-01-2020,0,0,0,69.0,0.0,20.0,0.0,251.0,0.0,18.0,0.0,34.0,0.0,22.0,0.0,6.0,0.0
Cambodia,27-01-2020,0,0,0,68.0,0.0,20.0,0.0,250.0,0.0,5.0,0.0,34.0,0.0,20.0,0.0,7.0,0.0
Cambodia,28-01-2020,0,0,0,67.0,0.0,19.0,0.0,248.0,0.0,5.0,0.0,34.0,0.0,21.0,0.0,7.0,0.0
Cambodia,29-01-2020,0,0,0,71.0,0.0,21.0,0.0,249.0,0.0,15.0,0.0,33.0,0.0,22.0,0.0,8.0,0.0
Cambodia,30-01-2020,0,0,0,81.0,0.0,22.0,0.0,253.0,0.0,69.0,0.0,29.0,0.0,21.0,0.0,8.0,0.0
Cambodia,31-01-2020,0,0,0,73.0,0.0,20.0,0.0,253.0,0.0,26.0,0.0,31.0,0.0,20.0,0.0,6.0,0.0
Cambodia,01-02-2020,0,0,0,66.0,0.0,18.0,0.0,249.0,0.0,9.0,0.0,33.0,0.0,19.0,0.0,10.0,0.0
Cambodia,02-02-2020,0,0,0,57.0,0.0,15.0,0.0,250.0,0.0,6.0,0.0,33.0,0.0,18.0,0.0,9.0,0.0
Cambodia,03-02-2020,0,0,0,60.0,0.0,16.0,0.0,251.0,0.0,3.0,0.0,34.0,0.0,19.0,0.0,11.0,0.0
Cambodia,04-02-2020,0,0,0,64.0,0.0,18.0,0.0,248.0,0.0,8.0,0.0,34.0,0.0,21.0,0.0,7.0,0.0
Cambodia,05-02-2020,0,0,0,60.0,0.0,17.0,0.0,249.0,0.0,7.0,0.0,34.0,0.0,19.0,0.0,7.0,0.0
Cambodia,06-02-2020,0,0,0,62.0,0.0,17.0,0.0,251.0,0.0,5.0,0.0,33.0,0.0,19.0,0.0,8.0,0.0
Cambodia,07-02-2020,0,0,0,56.0,0.0,15.0,0.0,250.0,0.0,2.0,0.0,35.0,0.0,18.0,0.0,6.0,0.0
Cambodia,08-02-2020,0,0,0,62.0,0.0,17.0,0.0,247.0,0.0,2.0,0.0,34.0,0.0,23.0,0.0,7.0,0.0
