# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Austria,22-01-2020,0,0,0,41.0,0.0,-11.0,0.0,332.0,0.0,0.0,0.0,7.0,0.0,-5.0,0.0,1.0,0.0
Austria,23-01-2020,0,0,0,53.0,0.0,-9.0,0.0,313.0,0.0,3.0,0.0,5.0,0.0,-2.0,0.0,1.0,0.0
Austria,24-01-2020,0,0,0,48.0,0.0,-8.0,0.0,318.0,0.0,2.0,0.0,8.0,0.0,-1.0,0.0,1.0,0.0
Austria,25-01-2020,0,0,0,59.0,0.0,-5.0,0.0,295.0,0.0,6.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Austria,26-01-2020,0,0,0,81.0,0.0,-1.0,0.0,310.0,0.0,21.0,0.0,6.0,0.0,-3.0,0.0,1.0,0.0
Austria,27-01-2020,0,0,0,77.0,0.0,-2.0,0.0,316.0,0.0,35.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Austria,28-01-2020,0,0,0,80.0,0.0,-2.0,0.0,369.0,0.0,77.0,0.0,5.0,0.0,-5.0,0.0,1.0,0.0
Austria,29-01-2020,0,0,0,67.0,0.0,-7.0,0.0,399.0,0.0,40.0,0.0,2.0,0.0,-3.0,0.0,1.0,0.0
Austria,30-01-2020,0,0,0,65.0,0.0,-5.0,0.0,328.0,0.0,37.0,0.0,5.0,0.0,-1.0,0.0,1.0,0.0
Austria,31-01-2020,0,0,0,87.0,0.0,2.0,0.0,294.0,0.0,56.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Austria,01-02-2020,0,0,0,81.0,0.0,1.0,0.0,286.0,0.0,18.0,0.0,10.0,0.0,2.0,0.0,2.0,0.0
Austria,02-02-2020,0,0,0,83.0,0.0,2.0,0.0,321.0,0.0,93.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0
Austria,03-02-2020,0,0,0,90.0,0.0,1.0,0.0,322.0,0.0,97.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
Austria,04-02-2020,0,0,0,81.0,0.0,-2.0,0.0,379.0,0.0,81.0,0.0,3.0,0.0,-3.0,0.0,1.0,0.0
Austria,05-02-2020,0,0,0,77.0,0.0,-6.0,0.0,390.0,0.0,66.0,0.0,-2.0,0.0,-9.0,0.0,1.0,0.0
Austria,06-02-2020,0,0,0,62.0,0.0,-11.0,0.0,354.0,0.0,4.0,0.0,1.0,0.0,-9.0,0.0,1.0,0.0
Austria,07-02-2020,0,0,0,56.0,0.0,-11.0,0.0,332.0,0.0,5.0,0.0,2.0,0.0,-6.0,0.0,2.0,0.0
Austria,08-02-2020,0,0,0,62.0,0.0,-7.0,0.0,319.0,0.0,5.0,0.0,6.0,0.0,-3.0,0.0,2.0,0.0
Austria,09-02-2020,0,0,0,57.0,0.0,-7.0,0.0,326.0,0.0,4.0,0.0,6.0,0.0,-2.0,0.0,2.0,0.0
Austria,10-02-2020,0,0,0,75.0,0.0,-2.0,0.0,282.0,0.0,84.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0
Austria,11-02-2020,0,0,0,73.0,0.0,-3.0,0.0,293.0,0.0,73.0,0.0,3.0,0.0,-4.0,0.0,2.0,0.0
Austria,12-02-2020,0,0,0,64.0,0.0,-7.0,0.0,348.0,0.0,39.0,0.0,3.0,0.0,-6.0,0.0,2.0,0.0
Austria,13-02-2020,0,0,0,66.0,0.0,-5.0,0.0,356.0,0.0,20.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
Austria,14-02-2020,0,0,0,82.0,0.0,-2.0,0.0,372.0,0.0,75.0,0.0,1.0,0.0,-3.0,0.0,2.0,0.0
Austria,15-02-2020,0,0,0,74.0,0.0,-3.0,0.0,321.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0
Austria,16-02-2020,0,0,0,53.0,0.0,-5.0,0.0,291.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Austria,17-02-2020,0,0,0,64.0,0.0,-1.0,0.0,305.0,0.0,15.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0
Austria,18-02-2020,0,0,0,71.0,0.0,-3.0,0.0,326.0,0.0,60.0,0.0,5.0,0.0,-3.0,0.0,2.0,0.0
Austria,19-02-2020,0,0,0,76.0,0.0,-3.0,0.0,370.0,0.0,56.0,0.0,4.0,0.0,-2.0,0.0,2.0,0.0
Austria,20-02-2020,0,0,0,70.0,0.0,-4.0,0.0,325.0,0.0,24.0,0.0,4.0,0.0,-1.0,0.0,2.0,0.0
Austria,21-02-2020,0,0,0,59.0,0.0,-7.0,0.0,345.0,0.0,35.0,0.0,3.0,0.0,-4.0,0.0,2.0,0.0
Austria,22-02-2020,0,0,0,45.0,0.0,-8.0,0.0,332.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
Austria,23-02-2020,0,0,0,69.0,0.0,0.0,0.0,321.0,0.0,31.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0
Austria,24-02-2020,0,0,0,84.0,0.0,1.0,0.0,336.0,0.0,93.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Austria,25-02-2020,0,0,0,71.0,0.0,0.0,0.0,337.0,0.0,60.0,0.0,12.0,0.0,-1.0,0.0,2.0,0.0
Austria,26-02-2020,0,0,0,81.0,0.0,-3.0,0.0,370.0,0.0,82.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0
Austria,27-02-2020,0,0,0,62.0,0.0,-7.0,0.0,383.0,0.0,24.0,0.0,3.0,0.0,-3.0,0.0,2.0,0.0
Austria,28-02-2020,0,0,0,72.0,0.0,-7.0,0.0,379.0,0.0,64.0,0.0,0.0,0.0,-7.0,0.0,2.0,0.0
Austria,29-02-2020,0,0,0,62.0,0.0,-7.0,0.0,332.0,0.0,6.0,0.0,5.0,0.0,-2.0,0.0,2.0,0.0
Austria,01-03-2020,0,0,0,81.0,0.0,-1.0,0.0,362.0,0.0,51.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0
Austria,02-03-2020,0,0,0,74.0,0.0,-1.0,0.0,365.0,0.0,63.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0
Austria,03-03-2020,0,0,0,83.0,0.0,0.0,0.0,407.0,0.0,82.0,0.0,4.0,0.0,-2.0,0.0,2.0,0.0
Austria,04-03-2020,0,0,0,74.0,0.0,-5.0,0.0,436.0,0.0,32.0,0.0,3.0,0.0,-6.0,0.0,1.0,0.0
Austria,05-03-2020,0,0,0,65.0,0.0,-6.0,0.0,347.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
Austria,06-03-2020,0,0,0,88.0,0.0,0.0,0.0,334.0,0.0,81.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
Austria,07-03-2020,0,0,0,79.0,0.0,-2.0,0.0,379.0,0.0,52.0,0.0,3.0,0.0,-2.0,0.0,2.0,0.0
Austria,08-03-2020,0,0,0,68.0,0.0,-5.0,0.0,402.0,0.0,25.0,0.0,6.0,0.0,-3.0,0.0,2.0,0.0
Austria,09-03-2020,0,0,0,74.0,0.0,-3.0,0.0,375.0,0.0,56.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
Austria,10-03-2020,0,0,0,78.0,0.0,-1.0,0.0,380.0,0.0,57.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0
Austria,11-03-2020,0,0,0,91.0,0.0,4.0,0.0,321.0,0.0,75.0,0.0,9.0,0.0,1.0,0.0,3.0,0.0
