# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Switzerland,22-01-2020,0,0,0,44.0,0.0,-8.0,0.0,385.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Switzerland,23-01-2020,0,0,0,43.0,0.0,-9.0,0.0,349.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Switzerland,24-01-2020,0,0,0,52.0,0.0,-6.0,0.0,319.0,0.0,4.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Switzerland,25-01-2020,0,0,0,73.0,0.0,-3.0,0.0,313.0,0.0,7.0,0.0,4.0,0.0,-1.0,0.0,1.0,0.0
Switzerland,26-01-2020,0,0,0,76.0,0.0,-3.0,0.0,312.0,0.0,21.0,0.0,4.0,0.0,-2.0,0.0,1.0,0.0
Switzerland,27-01-2020,0,0,0,73.0,0.0,-3.0,0.0,321.0,0.0,31.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Switzerland,28-01-2020,0,0,0,79.0,0.0,-3.0,0.0,387.0,0.0,74.0,0.0,3.0,0.0,-3.0,0.0,1.0,0.0
Switzerland,29-01-2020,0,0,0,89.0,0.0,-3.0,0.0,370.0,0.0,86.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0
Switzerland,30-01-2020,0,0,0,69.0,0.0,-3.0,0.0,298.0,0.0,60.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0
Switzerland,31-01-2020,0,0,0,93.0,0.0,2.0,0.0,290.0,0.0,69.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0
Switzerland,01-02-2020,0,0,0,84.0,0.0,0.0,0.0,300.0,0.0,69.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0
Switzerland,02-02-2020,0,0,0,91.0,0.0,2.0,0.0,306.0,0.0,94.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0
Switzerland,03-02-2020,0,0,0,83.0,0.0,2.0,0.0,302.0,0.0,95.0,0.0,6.0,0.0,-2.0,0.0,2.0,0.0
Switzerland,04-02-2020,0,0,0,86.0,0.0,-3.0,0.0,367.0,0.0,88.0,0.0,-1.0,0.0,-5.0,0.0,1.0,0.0
Switzerland,05-02-2020,0,0,0,79.0,0.0,-7.0,0.0,355.0,0.0,65.0,0.0,-2.0,0.0,-6.0,0.0,1.0,0.0
Switzerland,06-02-2020,0,0,0,59.0,0.0,-9.0,0.0,342.0,0.0,1.0,0.0,2.0,0.0,-3.0,0.0,2.0,0.0
Switzerland,07-02-2020,0,0,0,60.0,0.0,-6.0,0.0,326.0,0.0,9.0,0.0,4.0,0.0,-2.0,0.0,2.0,0.0
Switzerland,08-02-2020,0,0,0,63.0,0.0,-6.0,0.0,311.0,0.0,7.0,0.0,4.0,0.0,-2.0,0.0,2.0,0.0
Switzerland,09-02-2020,0,0,0,66.0,0.0,-4.0,0.0,317.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Switzerland,10-02-2020,0,0,0,73.0,0.0,0.0,0.0,264.0,0.0,77.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Switzerland,11-02-2020,0,0,0,83.0,0.0,-2.0,0.0,275.0,0.0,91.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0
Switzerland,12-02-2020,0,0,0,73.0,0.0,-7.0,0.0,332.0,0.0,47.0,0.0,1.0,0.0,-4.0,0.0,2.0,0.0
Switzerland,13-02-2020,0,0,0,72.0,0.0,-5.0,0.0,351.0,0.0,66.0,0.0,2.0,0.0,-1.0,0.0,2.0,0.0
Switzerland,14-02-2020,0,0,0,84.0,0.0,-2.0,0.0,329.0,0.0,81.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0
