# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Belgium,22-01-2020,0,0,0,81.0,0.0,-2.0,0.0,323.0,0.0,9.0,0.0,4.0,0.0,-1.0,0.0,1.0,0.0
Belgium,23-01-2020,0,0,0,81.0,0.0,-1.0,0.0,307.0,0.0,11.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Belgium,24-01-2020,0,0,0,74.0,0.0,-3.0,0.0,284.0,0.0,10.0,0.0,4.0,0.0,-2.0,0.0,1.0,0.0
Belgium,25-01-2020,0,0,0,76.0,0.0,-2.0,0.0,281.0,0.0,11.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Belgium,26-01-2020,0,0,0,86.0,0.0,2.0,0.0,292.0,0.0,31.0,0.0,9.0,0.0,6.0,0.0,1.0,0.0
Belgium,27-01-2020,0,0,0,88.0,0.0,6.0,0.0,337.0,0.0,88.0,0.0,10.0,0.0,5.0,0.0,1.0,0.0
Belgium,28-01-2020,0,0,0,81.0,0.0,2.0,0.0,428.0,0.0,87.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0
Belgium,29-01-2020,0,0,0,76.0,0.0,1.0,0.0,368.0,0.0,40.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0
Belgium,30-01-2020,0,0,0,85.0,0.0,5.0,0.0,303.0,0.0,36.0,0.0,11.0,0.0,8.0,0.0,1.0,0.0
Belgium,31-01-2020,0,0,0,85.0,0.0,8.0,0.0,289.0,0.0,22.0,0.0,13.0,0.0,11.0,0.0,1.0,0.0
Belgium,01-02-2020,0,0,0,87.0,0.0,8.0,0.0,322.0,0.0,94.0,0.0,12.0,0.0,6.0,0.0,1.0,0.0
Belgium,02-02-2020,0,0,0,89.0,0.0,8.0,0.0,326.0,0.0,95.0,0.0,13.0,0.0,9.0,0.0,1.0,0.0
Belgium,03-02-2020,0,0,0,84.0,0.0,7.0,0.0,333.0,0.0,95.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0
Belgium,04-02-2020,0,0,0,82.0,0.0,2.0,0.0,387.0,0.0,89.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Belgium,05-02-2020,0,0,0,83.0,0.0,1.0,0.0,335.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
Belgium,06-02-2020,0,0,0,81.0,0.0,0.0,0.0,337.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
Belgium,07-02-2020,0,0,0,71.0,0.0,0.0,0.0,315.0,0.0,5.0,0.0,11.0,0.0,5.0,0.0,1.0,0.0
Belgium,08-02-2020,0,0,0,86.0,0.0,5.0,0.0,321.0,0.0,73.0,0.0,11.0,0.0,7.0,0.0,1.0,0.0
Belgium,09-02-2020,0,0,0,79.0,0.0,6.0,0.0,304.0,0.0,88.0,0.0,13.0,0.0,6.0,0.0,1.0,0.0
