# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Hungary,22-01-2020,0,0,0,76.0,0.0,-4.0,0.0,329.0,0.0,7.0,0.0,1.0,0.0,-3.0,0.0,1.0,0.0
Hungary,23-01-2020,0,0,0,73.0,0.0,-4.0,0.0,332.0,0.0,5.0,0.0,5.0,0.0,-4.0,0.0,1.0,0.0
Hungary,24-01-2020,0,0,0,72.0,0.0,-5.0,0.0,315.0,0.0,7.0,0.0,2.0,0.0,-3.0,0.0,1.0,0.0
Hungary,25-01-2020,0,0,0,76.0,0.0,-4.0,0.0,296.0,0.0,10.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0
Hungary,26-01-2020,0,0,0,77.0,0.0,-3.0,0.0,305.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Hungary,27-01-2020,0,0,0,73.0,0.0,-3.0,0.0,321.0,0.0,27.0,0.0,5.0,0.0,-2.0,0.0,1.0,0.0
Hungary,28-01-2020,0,0,0,88.0,0.0,0.0,0.0,349.0,0.0,97.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Hungary,29-01-2020,0,0,0,83.0,0.0,0.0,0.0,421.0,0.0,65.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Hungary,30-01-2020,0,0,0,78.0,0.0,0.0,0.0,373.0,0.0,36.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Hungary,31-01-2020,0,0,0,80.0,0.0,3.0,0.0,308.0,0.0,28.0,0.0,11.0,0.0,4.0,0.0,1.0,0.0
Hungary,01-02-2020,0,0,0,78.0,0.0,5.0,0.0,286.0,0.0,10.0,0.0,15.0,0.0,8.0,0.0,2.0,0.0
Hungary,02-02-2020,0,0,0,72.0,0.0,6.0,0.0,322.0,0.0,48.0,0.0,13.0,0.0,10.0,0.0,1.0,0.0
Hungary,03-02-2020,0,0,0,68.0,0.0,4.0,0.0,337.0,0.0,43.0,0.0,12.0,0.0,6.0,0.0,1.0,0.0
Hungary,04-02-2020,0,0,0,75.0,0.0,2.0,0.0,373.0,0.0,84.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0
Hungary,05-02-2020,0,0,0,56.0,0.0,-3.0,0.0,416.0,0.0,14.0,0.0,8.0,0.0,-2.0,0.0,1.0,0.0
Hungary,06-02-2020,0,0,0,56.0,0.0,-6.0,0.0,377.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Hungary,07-02-2020,0,0,0,71.0,0.0,-1.0,0.0,341.0,0.0,11.0,0.0,8.0,0.0,-4.0,0.0,1.0,0.0
Hungary,08-02-2020,0,0,0,46.0,0.0,-10.0,0.0,336.0,0.0,2.0,0.0,5.0,0.0,-4.0,0.0,2.0,0.0
Hungary,09-02-2020,0,0,0,53.0,0.0,-7.0,0.0,330.0,0.0,3.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0
Hungary,10-02-2020,0,0,0,70.0,0.0,2.0,0.0,299.0,0.0,73.0,0.0,13.0,0.0,3.0,0.0,2.0,0.0
Hungary,11-02-2020,0,0,0,69.0,0.0,0.0,0.0,311.0,0.0,89.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0
Hungary,12-02-2020,0,0,0,62.0,0.0,-2.0,0.0,358.0,0.0,20.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Hungary,13-02-2020,0,0,0,68.0,0.0,0.0,0.0,363.0,0.0,19.0,0.0,10.0,0.0,5.0,0.0,2.0,0.0
Hungary,14-02-2020,0,0,0,76.0,0.0,3.0,0.0,404.0,0.0,75.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0
Hungary,15-02-2020,0,0,0,80.0,0.0,1.0,0.0,336.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Hungary,16-02-2020,0,0,0,76.0,0.0,1.0,0.0,306.0,0.0,5.0,0.0,12.0,0.0,2.0,0.0,2.0,0.0
Hungary,17-02-2020,0,0,0,74.0,0.0,3.0,0.0,299.0,0.0,4.0,0.0,14.0,0.0,4.0,0.0,2.0,0.0
Hungary,18-02-2020,0,0,0,70.0,0.0,2.0,0.0,335.0,0.0,14.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
Hungary,19-02-2020,0,0,0,62.0,0.0,-1.0,0.0,362.0,0.0,11.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0
Hungary,20-02-2020,0,0,0,63.0,0.0,-1.0,0.0,366.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
Hungary,21-02-2020,0,0,0,64.0,0.0,-2.0,0.0,358.0,0.0,43.0,0.0,8.0,0.0,-1.0,0.0,2.0,0.0
Hungary,22-02-2020,0,0,0,63.0,0.0,-2.0,0.0,345.0,0.0,6.0,0.0,11.0,0.0,3.0,0.0,2.0,0.0
Hungary,23-02-2020,0,0,0,62.0,0.0,2.0,0.0,333.0,0.0,14.0,0.0,14.0,0.0,6.0,0.0,2.0,0.0
Hungary,24-02-2020,0,0,0,55.0,0.0,0.0,0.0,349.0,0.0,32.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0
Hungary,25-02-2020,0,0,0,62.0,0.0,2.0,0.0,344.0,0.0,4.0,0.0,17.0,0.0,6.0,0.0,3.0,0.0
Hungary,26-02-2020,0,0,0,81.0,0.0,4.0,0.0,356.0,0.0,94.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0
